URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVERAGE NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUN,AVG WORD LENGTH
bctech2011,https://insights.blackcoffer.com/ml-and-ai-based-insurance-premium-model-to-predict-premium-to-be-charged-by-the-insurance-company/,182,-58,0.5166666645138889,0.9999999958333333,21.58411214953271,0.3678603137022788,8.780788985293997,21.58411214953271,1243,240,2.2065699911216337,0,6.504291210417283
bctech2012,https://insights.blackcoffer.com/streamlined-integration-interactive-brokers-api-with-python-for-desktop-trading-application/,66,-34,0.3199999968,0.9999999900000002,36.83076923076923,0.34941520467836257,14.872073774179038,36.83076923076923,478,100,2.2054093567251463,0,6.590643274853801
bctech2013,https://insights.blackcoffer.com/efficient-data-integration-and-user-friendly-interface-development-navigating-challenges-in-web-application-deployment/,66,-58,0.06451612851196671,0.999999991935484,45.870370370370374,0.3169734151329243,18.47493751420132,45.870370370370374,465,124,2.14519427402863,0,6.426721199727335
bctech2014,https://insights.blackcoffer.com/effective-management-of-social-media-data-extraction-strategies-for-authentication-security-and-reliability/,66,-47,0.1681415914323753,0.9999999911504426,35.26865671641791,0.34023668639053256,14.243557361123377,35.26865671641791,460,113,2.1664201183431953,0,6.4674556213017755
bctech2015,https://insights.blackcoffer.com/streamlined-trading-operations-interface-for-metatrader-4-empowering-efficient-management-and-monitoring/,61,-42,0.18446601762654352,0.9999999902912623,56.34090909090909,0.32598208132322537,22.666756468892928,56.34090909090909,473,103,2.128876636802205,0,6.274982770503101
bctech2016,https://insights.blackcoffer.com/efficient-aws-infrastructure-setup-and-management-addressing-security-scalability-and-compliance/,63,-44,0.17757009179841035,0.9999999906542058,35.815384615384616,0.33533834586466166,14.460289184499713,35.815384615384616,446,107,2.1466165413533833,0,6.396240601503759
bctech2017,https://insights.blackcoffer.com/streamlined-equity-waterfall-calculation-and-deal-management-system/,50,-42,0.08695652079395086,0.999999989130435,54.4390243902439,0.326955074875208,21.906391786047646,54.4390243902439,393,92,2.129783693843594,0,6.416805324459235
bctech2018,https://insights.blackcoffer.com/automated-orthopedic-case-report-generation-harnessing-web-scraping-and-ai-integration/,51,-33,0.2142857117346939,0.9999999880952383,59.578947368421055,0.321656050955414,23.960241367750587,59.578947368421055,404,84,2.1011146496815285,0,6.302547770700637
bctech2019,https://insights.blackcoffer.com/streamlining-time-calculation-in-warehouse-management-leveraging-shiphero-api-and-google-bigquery-integration/,55,-44,0.11111110998877667,0.99999998989899,54.25,0.30095658572479767,21.82038263428992,54.25,409,99,2.0765268579838114,0,6.255334805003679
bctech2020,https://insights.blackcoffer.com/efficient-database-design-and-management-streamlining-access-and-integration-for-partner-entity-management/,70,-50,0.1666666652777778,0.9999999916666668,55.61702127659574,0.3497164461247637,22.386695089088207,55.61702127659574,555,120,2.1726528040327664,0,6.404536862003781
